,Title,Director,Actors,Rating,Income,Country,Duration,Type,Year
1,我不是药神,文牧野,徐峥、周一围、王传君,9.6,310002,中国大陆,117分钟, 剧情   喜剧  ,2018-07-05
2,肖申克的救赎,弗兰克·德拉邦特,蒂姆·罗宾斯、摩根·弗里曼、鲍勃·冈顿,9.5,暂无,美国,142分钟, 剧情   犯罪  ,1994-09-10
3,绿皮书,彼得·法雷里,维果·莫腾森、马赫沙拉·阿里、琳达·卡德里尼,9.5,47872,美国,130分钟, 剧情   喜剧   传记  ,2019-03-01
4,海上钢琴师,朱塞佩·托纳多雷,蒂姆·罗斯、比尔·努恩 、克兰伦斯·威廉姆斯三世,9.3,14376,意大利,126分钟, 剧情   爱情   音乐  ,2019-11-15
5,哪吒之魔童降世,饺子,吕艳婷、囧森瑟夫、瀚墨,9.6,66507,中国大陆,110分钟, 动画   喜剧   奇幻  ,2019-07-26
6,霸王别姬,陈凯歌,张国荣、张丰毅、巩俐,9.4,5,"中国大陆,中国香港",171分钟, 剧情   爱情  ,1993-07-26
7,小偷家族,是枝裕和,中川雅也、安藤樱、松冈茉优,8.1,9675,日本,121分钟, 剧情   犯罪  ,2018-08-03
8,美丽人生,罗伯托·贝尼尼,罗伯托·贝尼尼、朱斯蒂诺·杜拉诺、赛尔乔·比尼·布斯特里克,9.3,5979,意大利,116分钟, 战争   剧情   爱情  ,2020-01-03
9,这个杀手不太冷,吕克·贝松,让·雷诺、加里·奥德曼、娜塔莉·波特曼,9.4,暂无,法国,110分钟, 剧情   动作   犯罪  ,1994-09-14
10,怦然心动,罗伯·莱纳,玛德琳·卡罗尔、卡兰·麦克奥利菲、艾丹•奎因,8.9,暂无,美国,90分钟, 爱情  ,2010-07-26
11,盗梦空间,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥、渡边谦、约瑟夫·高登-莱维特,9.0,49620,"美国,英国",148分钟, 动作   悬疑   惊悚   科幻  ,2010-09-01
12,阿甘正传,罗伯特·泽米吉斯,汤姆·汉克斯、罗宾·怀特、加里·西尼斯,9.4,暂无,美国,142分钟, 剧情   爱情  ,1994-07-06
13,千与千寻,宫崎骏,柊瑠美、周冬雨、入野自由,9.3,48828,日本,125分钟, 动画   冒险   奇幻   家庭  ,2019-06-21
14,星际穿越,克里斯托弗·诺兰,马修·麦康纳、安妮·海瑟薇、杰西卡·查斯坦,9.3,87697,美国,169分钟, 剧情   科幻   冒险  ,2014-11-12
15,楚门的世界,彼得·威尔,金·凯瑞、劳拉·琳妮、诺亚·艾默里奇,8.9,暂无,美国,103分钟, 剧情  ,1998(罗马尼亚)
16,触不可及,奥利维埃·纳卡什,弗朗索瓦·克鲁塞、奥玛·希、安娜·勒尼,9.1,暂无,法国,112分钟, 剧情   喜剧  ,2011-11-02
17,辛德勒的名单,埃里克·托莱达诺,连姆·尼森、拉尔夫·费因斯、本·金斯利,9.2,暂无,美国,195分钟, 剧情   历史   战争  ,1993-11-30
18,情书,史蒂文·斯皮尔伯格,中山美穗、丰川悦司、酒井美纪,8.9,6521,日本,116分钟, 剧情   爱情  ,1999-03-01
19,寻梦环游记,岩井俊二,安东尼·冈萨雷斯、本杰明·布拉特、盖尔·加西亚·贝纳尔,9.6,123008,美国,105分钟, 动画   冒险   家庭  ,2017-11-24
